编号,中文,英语,定义,注释
7.2.17.11,有效性,efficiency,两种参数估计方法相比，其估计量抽样分布密集性高的方法有效性好，反之则差。,
7.2.17.12,无偏性,unbiasedness,样本参数估值在待估参数的真值附近摆动，对待估参数的真值无偏倚。,
7.2.18,抽样误差,sampling error,由随机样本所推求的估值与其总体值之间的误差。,注：通常用误差的均方差来量度。
7.2.19,外包线,enveloping curve,,
7.2.20,概率,probability,随机事件出现可能性的量度。,
7.2.20.1,条件概率,conditional probability,某一随机事件在特定条件下的概率。,
7.2.21,随机事件,random event,在随机试验中，可能出现也可能不出现，而在大量重复试验中具有某种规律性的事件。,
7.2.22,随机过程,stochastic process,,
7.2.22.1,平稳随机过程,stationary stochastic process,,
7.2.22.2,非平稳随机过程,non-stationary stochastic process,统计特征随时间变化的随机过程。,
7.2.22.3,马尔柯夫过程,Markov process,在已知目前状态的条件下，其未来的演变不依赖于它以往的演变的随机过程。,
7.2.22.4,泊松过程,Poisson process,一种累计随机事件发生次数的最基本的独立增量过程。,
7.2.23,随机模拟,stochastic simulation,根据随机过程的统计特征，采用数学模型模拟该过程的技术。,
7.2.24,时间序列,time series,,
7.2.25,随机水文分析,hydrological stochastic analysis,对既有确定性又有随机性的水文现象进行分析研究的技术。,
7.2.25.1,趋势项,trend term,水文系列中随时程呈增加或减少变化的成分。,
7.2.25.2,周期项,cycle term,水文系列中随时程呈周期变化的成分。,
7.2.25.3,随机项,stochastic term,,
7.2.25.4,调和分析,harmonic analysis,对水文系列中周期项谐波成分的分析工作。,
7.2.25.5,谱分析,spectrum analysis,对时间序列或随机过程中各种频率波动成分的振幅，或对两个时间序列间对应的各种频 率波动成分间相互关系的分析工作。,
7.2.25.6,噪声,noise,振幅和频率呈杂乱、断续的一种振动。,注：水文分析中常用来表示误差。
7.2.25.7,趋势分析,trend analysis,分析水文序列中递增或者递减趋势的分析方法。,
7.2.25.8,跳跃分析,abrupt change analysis；change point analysis,,
7.2.26,回归分析,regression analysis,分析两个或两个以上水文变量之间相关关系的数理统计方法。,
7.2.26,相关分析,correlation analysis,分析两个或两个以上水文变量之间相关关系的数理统计方法。,
7.2.26.1,相关系数,correlation coefficient,表示两个或两个以上水文变量之间线性相关程度的指标。,
7.2.26.2,自回归分析,autoregression analysis,对水文变量系列中相隔一定时间和空间的观测值之间的回归分析。,
7.2.26.3,逐步回归分析,stepwise regression analysis,通过数学方法筛选相关因子的回归分析。,
7.2.26.4,多元回归,multiple regression,有两个或两个以上自变量的回归分析。,
7.2.26.5,最小二乘回归,least-squares regression,用模型预测值尽可能接近实测数据的方式来确定拟建模型未知量的过程。,
7.2.26.6,正相关,positive correlation,因变量值随自变量值的增大（减小）而增大（减小）的现象。,
7.2.26.7,负相关,negative correlation,因变量值随自变量值的增大（减小）而减小（增大）的现象。,
7.2.27,自回归滑动平均模型,autoregressive moving average model,由自回归模型与滑动平均模型综合而成的模型。,注：它可在最小方差意义下对平稳时间序列进行逼近预报和控制。
7.3.1,设计洪水,design flood,为工程设计而拟定的符合指定正常运用防洪标准的洪水。,注 1：广义包括工程在非常运用条件下复核校核防洪标准的设计洪水。；注 2：设计洪水的内容主要包括洪峰流量、洪水总量、洪水过程线等。
7.3.2,校核洪水,check flood,为工程设计而拟定的符合指定非常运用防洪标准的洪水。,注：它反映了水工建筑物在非常运用情况下所能防御洪水的能力，是水利水电工程的一项重要设计指；标。
7.3.3,分期设计洪水,seasonal design flood；stage design flood,,注：一般可将汛期划分为前汛期、主汛期、后汛期，分别计算各个分期的设计洪水。
7.3.3.1,汛期分期,partition of flood period,根据天气成因、数理统计等分析方法，汛期可划分为多个分期。,
7.3.3.2,跨期选样,cross-partition sampling,根据每个分期的洪水特征，将该分期起止时间前后展延一段时期进行分期洪水最大值的选样。,
7.3.4,施工设计洪水,design flood for construction period,,
7.3.5,实测洪水,observed flood,在测流断面现场测量并经资料整理获取的洪水。,
7.3.6,调查洪水,investigated flood,通过现场调查、勘测、考证等手段获取的洪水。,
7.3.7,历史洪水,historical flood,历史上无水文记录期曾发生过的大洪水。,注：其量级一般明显大于实测洪水系列中为首的几次洪水。
7.3.7.1,考证期,textual research period,调查其之前具有连续可靠文献记载历史洪水的时期。,
7.3.7.2,调查期,investigated research period,在实地勘查测算到若干可以定量的历史洪水的时期。,
7.3.8,古洪水,paleo flood,洪水发生的时间早于现代系统水文采集以及历史洪水和调查洪水的古代洪水。,注：它可提供距今 10000 年的全新世的洪水信息。
7.3.9,坝址洪水,dam-site flood,,
7.3.10,入库洪水,reservoir inflow flood,水库建成后，通过水库回水末端上游干支流、回水末端至水库周边区间陆面以及库面降 雨所组成的洪水。,
7.3.11,非常洪水,extraordinary flood,,
7.3.12,峰量关系,peak-volume relation,洪峰流量与同次洪水不同时段洪量之间的相关关系。,
7.3.13,洪水顺位,rank order of flood,按洪水量级从大到小排列洪水事件的位序。,
7.3.14,洪水系列,flood series,对洪水成因相同的洪水要素，采用一定方法选出的系列。,注：如按年最大值法选出的洪峰流量系列。
7.3.14.1,连序系列,series with successive order,考虑调查洪水，无间断情况由大到小排列的洪水系列。,
7.3.14.2,不连序系列,series with non-successive order,考虑调查洪水，有间断情况由大到小排列的洪水系列。,
7.3.15,设计洪水计算,design flood estimation,根据工程要求，推算符合指定防洪标准的洪峰流量、洪不同时段量、洪水过程线、洪水地区组成等全部或部分内容的计算工作。,
7.3.15.1,直接法,direct method,根据设计流域流量资料推求设计洪水的方法。,
7.3.15.2,间接法,indirect method,根据设计流域暴雨资料推求设计洪水的方法。,
7.3.15.3,类比法,analogy method,当设计流域没有流量资料也没有暴雨资料时，通过地区综合推求设计洪水的方法。,
7.3.15.4,降雨径流相关图法,storm runoff relevant graph method,通过建立降雨量、前期影响雨量、径流量三变量相关图，用降雨量减去相应的流域损失          量来计算产流量的方法。,
7.3.15.5,初损后损法,initial and receding abstraction method,将实际下渗过程简化为初损和后损两个阶段来计算产流量的方法。,注：初损是产流前的总损失量，包括截留、填洼以及产流前下渗的水量等；后损为流域产流后继续下；渗的水量。
7.3.15.6,初损法,initial abstraction method,将流域降雨总损失量分配在降雨初期来计算产流量的方法。,
7.3.15.7,平均损失率法,average loss method,将流域降雨总损失量平均分配在降雨过程中来计算产流量的方法。,
7.3.15.8,推理公式,rational formula,计算工程设计断面洪峰流量的公式，该流量等于流域面积、降雨强度与径流系数的乘积。,注：该公式是控制流域面积较小的工程设计洪水计算常用方法。
7.3.15.9,多输入单输出模型,multi-input and single output model,以多个水文变量作为输入，推算单一水文变量的系统水文模型。,
7.3.15.10,地貌瞬时单位线法,geomorphological instantaneous unit hydrograph method,利用地貌瞬时单位线来确定流域洪水过程的方法。,
7.3.15.11,临界雨强,critical rainfall intensity,河道洪水从中小洪水的非线性汇流特征转变为线性汇流特征时的降雨强度。,注：河道一般具有高水时流速趋于稳定的水力学特征，该特征可使河道洪水从中小洪水的非线性汇流；形式转变为线性汇流形式。
7.3.15.12,雨洪同频法,same frequency method for storm and flooding,对某一给定时段，用暴雨频率代替洪水频率的方法。,
7.3.16,安全修正值,safe adjustment value,根据工程的重要性和资料的代表性，为保证工程安全在校核洪水量值基础上所增加的修 正值。,
7.3.17,典型洪水过程线,typical flood hydrograph,按一定原则和要求，选一次或几次用于推求设计洪水过程线的实测或调查洪水过程线。,
7.3.18,设计洪水过程线,design flood hydrograph,符合工程设计洪水要求的洪水过程线。,
7.3.19,过程线放大,hydrograph enlargement,将典型洪水过程线乘以放大系数，使其有关特征值与某一设计频率要求的相应特征值相 符的工作。,
7.3.19.1,同频率放大,homogeneous frequency enlargement,将典型洪水过程线的洪峰流量以及各时段洪量进行放大，以符合设计频率的洪峰流量以 及各时段洪量的方法。,
7.3.19.2,同倍比放大,homogeneous multiple enlargement,用设计特征值与典型洪水过程相应特征值的比值放大典型洪水过程线的方法。,
7.3.20,典型洪水地区组成,spatial pattern of typical flood,设计断面发生的、有代表性的实测大洪水及其上游各分区实际来水的组合情况。,
7.3.21,设计洪水地区组成,spatial pattern of design flood,当设计断面发生设计洪水时，上游来水在各分区的分配及组合情况。,
7.3.21.1,典型洪水组成法,typical flood composition method,从实测资料中选择几次有代表性的大洪水作为典型，以设计断面的设计洪量作为控制，          按典型洪水的各分区洪量组成比例，计算各分区相应设计洪量的方法。,
7.3.21.2,同频率洪水组成法,same frequency flood composition method,根据水量平衡原理确定洪水总量，指定某一分区发生与设计断面同频率的洪量，其余分区发生的相应洪量用典型洪水的组成比例进行分配的方法。,
7.3.21.3,洪水频率组合法,flood frequency combination method,以水库断面及区间天然洪水频率曲线为基础，研究各分区洪水的所有可能组合情况，计算各种组合情况下的水库调洪对设计断面洪水的影响，从而推求出设计断面受水库调洪影响的洪水频率曲线及设计值的方法。,
7.3.21.4,洪水随机模拟法,flood stochastic simulation method,利用随机模拟技术，建立设计断面及各分区洪水过程线的模拟方法。通过长系列调洪演算，求得设计断面受水库调洪影响后的洪水系列，据此求得设计断面洪水频率曲线及设计值的方法。,
7.3.22,独立性检验,test for independence,根据样本资料判断水文变量之间彼此相关或相互独立的假设检验。,
7.3.23,变量代换,variable substitution,对结构较为复杂、变量较多的问题，通过引入新的变量进行代换，以简化问题的结构， 使问题能够得以解决的过程。,
7.4.1,设计年径流,design annual runoff,相应于设计标准的年径流量及其年内分配。,
7.4.2,径流还原计算,computation of runoff restored to original condition,把人类活动对河川径流的影响水量计入实测径流中，对径流资料进行复原的计算。,
7.4.2.1,还原水量,restored water quantity,河川径流受人类活动影响而减少或增加的水量。,
7.4.2.2,分项调查法,item-by-item investigation method,分项目开展人类活动对河川径流的影响调查并估算还原水量的方法。,
7.4.2.3,降雨径流模型法,rainfall-runoff modeling method,建立受人类活动影响前的降雨径流模型，用人类活动影响期各年的降雨资料，推求不受 人类活动影响的年径流系列的方法。,
7.4.2.4,蒸发差值法,evaporation difference method,计算人类活动前后流域蒸发量的差值，来作为河川径流还原水量的方法。,
7.4.3,径流还现计算,computation of runoff adjusted to current condition,把人类活动对河川径流的影响水量计入实测径流中，对未受人类活动影响的径流资料进 行修正的计算。7.4.4 径流年内分配 annual distribution of runoff 设计年径流量在年内的月、旬分配过程。,
7.4.5,径流年际变化,multi-year variation of runoff,年径流量在多年期间内的变化情况。,
7.4.6,丰水期,high-flow period,年内河川流量显著高于年平均流量的时期。,
7.4.7,平水期,normal-flow period,年内河川流量接近年平均流量的时期。,
7.4.8,枯水期,low-flow period,年内河川流量显著低于年平均流量的时期。,
7.4.9,丰水年,wet year,年降水量或年河川径流量显著大于多年平均值的年份。,
7.4.10,平水年,normal-flow year,年降水量或年河川径流量接近多年平均值的年份。,
7.4.11,枯水年,low-flow year,年降水量或年河川径流量显著小于多年平均值的年份。,
7.4.12,特枯水年,extraordinary low-flow year,年降水量或年河川径流量为历年最小值或接近历年最小值的年份。,
7.4.13,连续丰水年,continuous high-flow years,连续多年年降水量或年河川径流量大于多年平均值的年组。,
7.4.14,连续枯水年,continuous low-flow years,连续多年年降水量或年河川径流量小于多年平均值的年组。,
7.5.1,设计暴雨,design storm,符合设计标准的暴雨量及其相应的时程分配和面分布。,注：是由暴雨资料间接推算设计洪水的主要依据。
7.5.2,设计雨型,design storm pattern,设计暴雨的时程分配与空间分布型式。,
7.5.3,暴雨时程分配,time distribution of storm,暴雨量在时间上的分配过程。,
7.5.4,暴雨历时,storm duration,一次暴雨从开始到结束所经过的时间。,
7.5.5,暴雨地区分布,spatial distribution of storm,,注：常用暴雨等雨量线表示。
7.5.6,暴雨路径,storm track,,
7.5.7,暴雨等值线图,isohyetal map of storm；rainstorm isograph,标记在地图上的一次暴雨或时段暴雨特征值相等的各点的连线图。,注：可以用于查算设计地点的设计暴雨。
7.5.8,点面换算系数,point-area conversion coefficient,,
7.5.9,点面关系,point-area relationship,,
7.5.9.1,定点定面关系,fixed point-fixed area relationship,固定位置的点雨深与固定流域或区域的面平均雨深的关系。,
7.5.9.2,动点动面关系,movable point-movable area relationship,暴雨中心点雨深与不同等雨深线包围面积内的平均雨深的关系。,
7.5.10,雨强一历时曲线,rainfall intensity-duration curve,,
7.5.11,暴雨递减指数,storm reduction index,在雨强—历时曲线中，反映降雨强度随历时递增速率递减的参数。,
7.5.12,面积曲线,rainfall intensity-area curve,暴雨最大平均降雨强度与相应暴雨笼罩面积之间的关系曲线。,
7.5.13,时面深关系,depth-area-duration relationship,降雨深度随历时和面积而变化的综合关系。,
7.5.14,分期设计暴雨,seasonal design storm；stage design storm,,
7.6.1,可降水量,possible precipitation,单位面积空气柱中的全部水汽凝结所形成的水深。,
7.6.2,可能最大降水,probable maximum precipitation（PMP）,现代气候条件下，给定流域面积在一定历时内理论上可能产生的最大雨深。,
7.6.2.1,当地暴雨法,local storm method,当地暴雨放大法 amplifying local storm method 以设计流域内的实测特大暴雨作为典型，将影响降水的水汽、动力因子进行放大，来推求可能最大降水的方法。,
7.6.2.1,暴雨极大化,storm maximization,当地暴雨放大法 amplifying local storm method 以设计流域内的实测特大暴雨作为典型，将影响降水的水汽、动力因子进行放大，来推求可能最大降水的方法。,
7.6.2.2,暴雨移置法,storm transposition method,将邻近地区特大暴雨的时面深关系或暴雨等值线图移用到同一气候区内可能发生相同暴雨的设计流域，并对移置暴雨进行改正和放大来推求可能最大降水的方法。,
7.6.2.3,暴雨组合法,storm combination method,将若干场特大暴雨，合理地组合成一场理想的典型暴雨，并适当地进行放大来推求可能最大降水的方法。,注：该方法主要适用于推求大面积，长历时的可能最大降水。
7.6.2.4,暴雨时面深概化法,depth-area-duration synthetic method of storm,利用可移入设计流域的实测特大暴雨资料，通过放大、移置、时面深外包等步骤，求得 设计流域的所需历时的可能最大降水的方法。,
7.6.3,典型暴雨,typical storm,推算设计暴雨或可能最大降水所需的实测特大暴雨。,注：内容包括暴雨量、时程分配和空间分布。
7.6.4,降水效率,precipitation efficiency,降水量与可降水量的比值。,
7.6.5,高效暴雨,high efficiency storm,降水效率较大的暴雨。,
7.6.6,暴雨放大,storm enlargement,将影响降水的水汽、动力等主要因子用来合理放大典型暴雨的过程。,
7.6.6.1,水汽放大,moisture enlargement,用最大可降水与典型可降水的比值放大暴雨。,
7.6.6.2,水汽效率放大,moisture efficiency enlargement,,
7.6.6.3,入流指标,inflow indicatrix,降水时的风速与其可降水量的乘积。,
7.6.6.4,水汽输送率及水汽风速联合放大,moisture transmission rate and moisture wind,joint enlargement 用最大降水入流指标与典型降水入流指标的比值放大暴雨；或用最大可降水与典型可降 水的比值与最大风速与典型风速的比值联合放大暴雨。,
7.6.6.5,水汽净输送量放大,moisture transmission value enlargement,用考虑水汽输入总量和输出量的最大降水与典型降水的比值放大暴雨。,
7.6.6.6,代表性露点,representative dew point,在一定的降水面积及持续时间内，能反映一场暴雨期间输入雨区的水汽量的地面露点。,
7.6.6.7,可能最大露点,probable maximum dew point,,
7.6.7,暴雨移置改正,storm transposition correction,在暴雨移置时考虑流域形状、水汽、入流障碍高程等影响因素进行改正的过程。,
7.6.7.1,流域形状改正,watershed shape correction,按设计流域的边界，对移置的暴雨时面深关系或等值线图进行改正的过程。,
7.6.7.2,水汽改正,moisture correction,暴雨移置地与暴雨原发生地，由于可能最大露点和相应地面高程不同，而进行水汽条件 差异改正的过程。,
7.6.7.3,入流障碍改正,inflow obstacle correction,暴雨移置地与暴雨原发生地，由于平均高程不同或水汽入流方向障碍高程差异，而进行入流水汽改正的过程。,
7.6.7.4,综合改正,synthetic correction,用反映天气因子又反映地形因子的综合指标，对移置暴雨进行改正的过程。,
7.6.7.5,暴雨辐合分量,convergence component of storm,,
7.6.7.6,地形增强因子,topographic increasing factor,由地形抬升增大降水的影响因素。,
7.6.7.7,等百分数法,isopercental method,当两地地形差异较大，绘制时段雨量占该时段多年平均雨量百分数等值线图，供进行暴雨移置综合改正的方法。,
7.6.8,可能最大洪水,probable maximum flood（PMF）,根据可能最大降水和相应的产汇流条件推算的洪水。,
7.7.1,涝,surface waterlogging,由于降水、分洪等导致地面积水或者耕作层土壤过湿或作物受淹，影响作物正常生长发育，造成作物减产的现象。,
7.7.2,渍,subsurface waterlogging,由于地下水位过高或上层滞水，导致耕作层土壤过湿，影响作物正常生长发育，造成作 物减产的现象。,
7.7.3,排涝,drainage of surface waterlogging,排除危害正常生产、生活的多余地表水分的工程技术措施。,
7.7.4,排渍,drainage of subsurface waterlogging,降低地下水位或消除耕作层上层滞水过多，免除作物渍害的工程技术措施。,
7.7.5,排涝规划,planning for drainage of surface waterlogging,城市排除涝水和农田调节土壤水分、控制地下水位以及防治盐碱化的专业水利规划。,
7.7.6,排涝标准,standard for drainage of surface waterlogging,,
7.7.7,排涝计算,computation of drainage of surface waterlogging,根据排涝标准进行的设计排水流量和设计排涝水位的分析计算工作。,
7.7.8,设计排涝流量,design discharge for drainage of surface waterlogging,,
7.7.9,设计排渍流量,design discharge of drainage of subsurface waterlogging,为控制农田地下水位而要求沟渠排泄一定设计标准的地下排水流量。,
7.7.10,设计排涝水位,design stage for drainage of surface waterlogging,宣泄设计排涝流量时，排涝沟道的设计水位和渲泄区的设计水位的总称。,
7.7.11,设计排渍水位,design stage for drainage of subsurface waterlogging,,
7.7.12,排涝模数,modulus of drainage of surface waterlogging,单位排涝面积的设计排水流量。,
7.7.13,平均排除法,average surface drainage method,根据排水面积上的设计径流深在规定排水时间内平均排除的要求计算设计排涝流量的方法。,
7.7.14,作物允许耐淹水深,water depth of submergence tolerance of crop,在一定淹水时间内，对农作物不致引起明显减产的允许淹水深度。,
7.7.15,作物允许耐淹历时,duration of submergence tolerance of crop,,
7.7.16,自排,gravity drainage,在水重力作用下自流排入下一级排水区的排水方式。,
7.7.17,抽排,pumping drainage,利用抽水设备排出涝水或渍水的排水方式。,
8.1.1,水资源,water resources,地球上具有一定数量和可用质量，能从自然界获得补充并可资利用的水。,注：联合国教科文组织（UNESCO）和世界气象组织（WMO）联合发布的《国际水文学术语 第 3 版》（2012 年）中“水资源”术语的定义：针对明确的用水对象，某一地区某段时间内，具有足够的数量和合适的质量，可利用或可被开发利用的水。
8.1.1.1,地表水资源,surface water resources,,注：地球表面的主要水体包括河流、湖泊、水库、冰川、沼泽、积雪等。
8.1.1.2,地下水资源,groundwater resources,,
8.1.1.3,非常规水资源,unconventional water resources,经处理后可加以利用或在一定条件下可直接利用的水。,注 1：通常包括海水、废污水、微咸水或咸水、矿井水等。；注 2：有时也包括原本难以利用的雨洪水等。
8.1.2,淡水,fresh water,矿化度小于 1g/L 的水。,
8.1.3,咸水,salt water,矿化度大于或等于 1g/L 的水。,
8.1.4,泉水,spring water,从地下水的天然集中地表出露的水。,注：在适宜的地形、地质条件下，潜水或承压水会通过天然集中出露排出地面形成泉水。
8.1.5,水体更新周期,renewal period of a water body,通过水循环或人工干预使水体更新一次所需要的时间。,
8.1.6,水资源评价,water resources assessment,对水资源的数量、质量、赋存条件、时空分布特征、运动规律、开发利用条件等进行的 分析评定。,
8.1.6.1,地表水资源评价,surface water resources assessment,以河流、湖泊、冰川、沼泽等地表水体作为评价对象，对其数量、质量、赋存条件、时 空分布特征、运动规律和开发利用条件等进行的分析评定。,
8.1.6.2,地下水资源评价,groundwater resources assessment,对地下水的数量、质量、赋存条件、时空分布特征、开发利用条件及开采可能引起的环 境地质问题等进行的分析评定。,
8.1.6.3,水资源综合评价,comprehensive water resources assessment,在水资源数量、质量和开发利用现状评价以及对环境影响评价的基础上，对水资源时空分布特征、利用状况及与经济社会发展的协调程度等各个方面所作的分析评定。,
8.1.7,水资源价值,value of water resources,水资源可以使自然生态得以正常延续以及给使用者带来的效益。,注：包括已经开发的和未经开发的水资源。
8.1.8,单位水资源量价值,value of unit water resources quantity,,注：按水源、水资源用途、水资源质量等因素分类核算。
8.1.9,水资源核算,water resources accounting,水资源实物量核算和水资源价值量核算的总称。,
8.1.9.1,水资源实物量核算,water resources quantity accounting,在一定区域一定时期，按水量平衡原理及供需要求，采用水资源的实物量对来水、存水、 用水进行计算的工作。,
8.1.9.2,水资源价值量核算,water resources value accounting,在一定区域一定时期，对水资源本身所具有的价值进行计算的工作。,
8.1.9.3,水资源核算系统,accounting system of water resources,,
8.1.10,水资源评价信息系统,information system for water resources assessment,由采集、处理、传输、存储、分析、评价有关的水量、水质、用水以及自然地理、经济社会等信息单元所构成的系统。,注：为水资源评价提供的分析计算基础平台。
8.1.11,水资源分区,water resources zoning,能反映水资源和其它自然条件地区差别，尽量照顾供水系统、水文地质单元和流域水系完整，适当考虑行政区划且便于水资源评价和水资源规划的单元划分。,
8.1.12,水资源评价指标,index of water resources assessment,评定水资源数量、质量、时空分布特征以及开发利用条件等的基本参数。,
8.1.13,基准年,base year,在进行水资源开发利用现状评价时，选定的最接近当前实际经济社会发展水平和正常水文情势，且满足相应资料要求的最近年份。,
8.1.14,水资源学,water resources science,研究地球水资源的形成、分布、运动和演变规律，及应用这些规律解决人类对水的需求，并解决由此引发的各种问题的学科。,
8.1.15,水环境质量,quality of water environment,水环境对人群的生存和繁衍以及社会经济发展的适宜程度。,注：通常指水环境遭受污染的程度。
8.1.16,水质,water quality,,注：由水的物理、化学和生物等方面的综合特性所决定。
8.1.17,水质参数,water quality parameter,水质指标 water quality index 水体中的物理、化学和生物等方面的特征指标。,注：用以反映水体质量优劣程度和变化趋势。
8.1.17.1,溶解性总固体,total dissolved solid,水样经过过滤后，在一定的温度下烘干，所得的固体残渣。,注：包括不易挥发的可溶性盐类、有机物以及能通过滤器的不溶性微粒等。
8.1.17.2,矿化度,mineralized degree of water,单位体积水体内所含各种离子、分子与化合物的总量。,
8.1.17.3,盐度,salinity,单位容积水中溶解性盐类物质的数量。,
8.1.17.4,值,pH value,氢离子浓度指数 hydrogen ion concentration水中氢离子的浓度。,注：表示水中的酸碱性。
8.1.17.5,碱度,alkalinity,水介质与氢离子反应的定量能力。,
8.1.17.6,酸度,acidity,水介质与氢氧根离子反应的定量能力。,
8.1.17.7,电导率,electric conductivity,,注：以通过单位面积的电流除以单位长度的电压降落来量度。
8.1.17.8,浑浊度,turbidity,浊度 表征水中悬浮物质等阻碍光线透过的程度的指标。,注：影响水体透明度的悬浮物质主要包括微细分散的悬浮性粒子、可溶的有色有机物质、浮游生物、；微生物等。
8.1.17.9,总需氧量,total oxygen demand,水中全部还原性物质氧化成简单稳定的无机物质及有机物质所消耗的氧量。,
8.1.17.10,溶解氧,dissolved oxygen,以分子状态溶存于水中的氧。,
8.1.17.11,需氧量,oxygen demand,水中还原性物质氧化成为简单稳定的无机物质所消耗的氧量。,
8.1.17.12,氧垂曲线,dissolved oxygen sag curve,在受需氧有机物污染的河段中，表示溶解氧浓度沿程或随时间变化的下凹曲线。,
8.1.17.13,生化需氧量,biochemical oxygen demand,水中有机物质在好氧微生物作用下，在好氧分解过程中所消耗的氧量。,
8.1.17.14,化学需氧量,chemical oxygen demand,在规定条件下，用氧化剂处理水样时，水中被氧化物质消耗该氧化剂数量折算的氧量。,
8.1.17.15,硬度,hardness,水中钙、镁离子的总浓度。,
8.1.17.16,碳酸盐硬度,carbonate hardness,水中可溶性钙、镁等碳酸盐，碳酸氢盐所引起的硬度。,注：煮沸时可以除去。
8.1.17.17,非碳酸盐硬度,non-carbonate hardness,永久硬度 水中可溶性钙、镁等硫酸盐，氯化物和硝酸盐等引起的硬度。,注：煮沸不能除去。
8.1.17.18,硬水,hard water,钙、镁盐含量超过 150mg/L（以 CaCO3 计）的水。,注：钙、镁盐含量超过 300mg/L（以 CaCO3 计）以上的水为极硬水。
8.1.17.19,软水,soft water,钙、镁盐含量小于 100mg-L（以 CaCO3 计）的水。,注：钙、镁盐含量小于 40mg-L（以 CaCO3 计）以下的水为极软水。
8.1.17.20,氨氮,ammonia nitrogen,水中以游离氨（ NH  ）和铵离子（ 3 NH ）形式存在的氮。 4,
8.1.17.21,总磷,total phosphorus,水样经消解后将各种形态的磷转变成正磷酸盐后测定的总量。,注：以 mg/L 计量。
8.1.17.22,总氮,total nitrogen,水样中各种形态的无机氮和有机氮的总量。,注：以 mg/L 计量。
8.1.17.23,悬浮性固体,suspended solid,水中不溶解而又存在于水中不能通过过滤器的物质。,注：包括粘土颗粒、无机沉淀、有机沉淀、有机垢、腐蚀产物等。
8.1.17.24,总有机碳,total organic carbon,水体中溶解性和悬浮性有机物含碳的总量。,
8.2.1,降水量评价,precipitation assessment,对降水的数量及其时空分布特征的分析评定。8.2.2 水资源数量评价 quantity assessment of water resources水量评价 water quantity assessment 对水资源的数量及其时空分布特征和影响因素的分析评定。,
8.2.3,水资源总量,gross amount of water resources,流域或区域内地表水资源量、地下水资源量以及两者的不重复计算量的总和。,
8.2.3.1,地表水资源量,surface water resources amount,河流、湖泊、冰川等地表水体逐年更新的动态水量。,注：即天然径流量
8.2.3.2,地下水资源量,groundwater resources amount,,注：即降水和地表水入渗地下水的补给量。
8.2.3.3,地表与地下水资源重复量,overlap quantity between surface water and groundwater,resources 按地表水资源量和地下水资源量的定义及其相应的计算方法，分别计算的地表水资源数量与地下水资源数量之间的重复计算量。,注：造成重复计算量的原因是由于地表水与地下水之间存在相互转换关系。
8.2.4,人均水资源量,per capita water resources amount,,
8.2.5,亩均水资源量,per mu water resources amount,一定区域内水资源量与耕地面积的比值。,注：耕地面积用亩数表示。
8.2.6,三水转化,transformation among three water forms,,
8.2.7,四水转化,transformation among four water forms,降水、地表水、土壤水、地下水之间的水量交换和平衡关系。,
8.2.8,径流系列,runoff series,由各年相同时段的径流量组成的系列。,
8.2.9,回归水,return flow,水在利用过程中和利用后，通过地表或地下回流到河流、湖泊等地表水体或含水层的水。,
8.2.10,回归系数,coefficient of return flow,回归水量与相应的总取水量的比值。,
8.2.11,地下水资源模数,groundwater resources modulus,,
8.2.12,地下水补给量,groundwater recharge,,注：主要包括降水入渗补给量、地表水入渗补给量（包含地表水灌溉入渗补给）、井灌回归补给量、区；外侧渗流补给量等。
8.2.13,地下水排泄量,quantity of groundwater discharge,,注：主要包括河道排泄量、潜水蒸发量、开采消耗量、侧渗流出量等。；；；；；；；；；
8.2.14,地下水开采量,quantity of groundwater withdrawal,,
8.2.15,单井出水量,water yield of single well,单一水井的出水能力。,
8.2.16,产水模数,water yield modulus,单位时间单位面积产出的总水资源量。,注：即单位时间内（通常为一年）一定区域的总水资源量与区域面积的比值。
8.2.17,入海水量,water quantity discharging into sea,,
8.2.18,出境水量,water quantity flowing out through boundaries,,
8.2.19,入境水量,water quantity flowing in through boundaries,,
8.2.20,水资源量时空分布,temporal and spatial distribution of water resources amount,,注：其中时间变化一般指年内（季节）变化和年际变化。
8.2.21,水资源可利用量,available water resources amount,以流域为单元，在维持生态、保护环境和水资源可持续利用的前提下，在可预见的未来，通过经济合理、技术可行的措施，在当地水资源中可供河道外开发利用的最大水量,注：按不重复水量计。
8.2.22,地表水资源可利用量,available surface water resources amount,以流域为单元，在维持生态、保护环境和水资源可持续利用的前提下，在可预见的未来，通过经济合理、技术可行的措施，在当地地表水资源中可供河道外开发利用的最大水量。,注：按不重复水量计。
8.2.23,地下水可开采量,available yield of groundwater,地下水允许开采量 allowable groundwater abstraction 在可预见的时期内，通过经济合理、技术可行的措施，在不引起生态退化和环境恶化的 条件下，可持续地从含水层中获取的水量。,
8.3.1,水资源质量评价,assessment of water resources quality,水质评价 water quality assessment对水资源的质量进行分析评定的工作。,注：包括水的物理、化学、生物特征，泥沙情势，水污染状况等。
8.3.2,水质生物评价,biological assessment of water quality,,注：水体质量的变化会导致某些指示水生生物发生个体、群落结构乃至生理、生化特征的变化，可以；基于这些反应来分析评定水体质量及其变化趋势。
8.3.3,水污染指示生物,indicator organism for water pollution,在一定水质条件下生存、对水质变化反应敏感而被用来评价水体污染状况的水生生物。,
8.3.4,离子径流量,ion runoff,一定时段内河流某一断面通过的水流中所含各种离子的总质量。,
8.3.5,水体化学污染,chemical pollution of water body,,
